country,country_code_2_digit,country_code_3_digit,reported_date,population,hospital_occupancy_count,ICU_occupancy_count,source
Bulgaria,BG,BGR,2020-09-10,7000039,753.0,60.0,External_Github
Croatia,HR,HRV,2020-09-10,4076246,320.0,,Country_Website
Czechia,CZ,CZE,2020-09-10,10649800,264.0,65.0,Country_Website
Denmark,DK,DNK,2020-09-10,5806081,35.0,5.0,Country_Website
Estonia,EE,EST,2020-09-10,1324820,13.0,2.0,Country_API
France,FR,FRA,2020-09-10,67012883,5077.0,608.0,Country_Website
Hungary,HU,HUN,2020-09-10,9772756,234.0,11.0,JRC
Ireland,IE,IRL,2020-09-10,4904240,49.0,7.0,Country_Website
Italy,IT,ITA,2020-09-10,60359546,2000.0,164.0,Country_Github
Latvia,LV,LVA,2020-09-10,1919968,9.0,,Country_Website
Luxembourg,LU,LUX,2020-09-10,613894,21.0,1.0,Country_Website
Netherlands,NL,NLD,2020-09-10,17282163,,49.0,Other Website
Norway,NO,NOR,2020-09-10,5328212,11.0,,Country_API
Poland,PL,POL,2020-09-10,37972812,1924.0,,Country_Website
Portugal,PT,PRT,2020-09-10,10276617,406.0,57.0,Country_Website
Romania,RO,ROU,2020-09-10,19414458,,459.0,Country_Website
Slovakia,SK,SVK,2020-09-10,5450421,115.0,,JRC
Slovenia,SI,SVN,2020-09-10,2080908,26.0,5.0,Country_Github
United Kingdom,UK,GBR,2020-09-10,66647112,914.0,,Country_Website
Austria,AT,AUT,2020-09-09,8858775,197.0,36.0,Country_Website
Belgium,BE,BEL,2020-09-09,11455519,250.0,60.0,Country_Website
Bulgaria,BG,BGR,2020-09-09,7000039,762.0,57.0,External_Github
Croatia,HR,HRV,2020-09-09,4076246,299.0,,Country_Website
Czechia,CZ,CZE,2020-09-09,10649800,249.0,64.0,Country_Website
Denmark,DK,DNK,2020-09-09,5806081,30.0,5.0,Country_Website
Estonia,EE,EST,2020-09-09,1324820,9.0,2.0,Country_API
Finland,FI,FIN,2020-09-09,5517919,6.0,1.0,External_Github
France,FR,FRA,2020-09-09,67012883,4985.0,593.0,Country_Website
Hungary,HU,HUN,2020-09-09,9772756,221.0,13.0,JRC
Ireland,IE,IRL,2020-09-09,4904240,50.0,6.0,Country_Website
Italy,IT,ITA,2020-09-09,60359546,1928.0,150.0,Country_Github
Latvia,LV,LVA,2020-09-09,1919968,9.0,,Country_Website
Luxembourg,LU,LUX,2020-09-09,613894,21.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-09,17282163,,46.0,Other Website
Norway,NO,NOR,2020-09-09,5328212,14.0,,Country_API
Poland,PL,POL,2020-09-09,37972812,2070.0,,Country_Website
Portugal,PT,PRT,2020-09-09,10276617,391.0,52.0,Country_Website
Romania,RO,ROU,2020-09-09,19414458,,459.0,Country_Website
Slovakia,SK,SVK,2020-09-09,5450421,131.0,,JRC
Slovenia,SI,SVN,2020-09-09,2080908,27.0,4.0,Country_Github
United Kingdom,UK,GBR,2020-09-09,66647112,894.0,,Country_Website
Austria,AT,AUT,2020-09-08,8858775,170.0,28.0,Country_Website
Belgium,BE,BEL,2020-09-08,11455519,260.0,59.0,Country_Website
Bulgaria,BG,BGR,2020-09-08,7000039,773.0,53.0,External_Github
Croatia,HR,HRV,2020-09-08,4076246,303.0,,Country_Website
Czechia,CZ,CZE,2020-09-08,10649800,244.0,57.0,Country_Website
Denmark,DK,DNK,2020-09-08,5806081,28.0,3.0,Country_Website
Estonia,EE,EST,2020-09-08,1324820,7.0,1.0,Country_API
France,FR,FRA,2020-09-08,67012883,4942.0,568.0,Country_Website
Hungary,HU,HUN,2020-09-08,9772756,192.0,12.0,JRC
Ireland,IE,IRL,2020-09-08,4904240,49.0,6.0,Country_Website
Italy,IT,ITA,2020-09-08,60359546,1903.0,143.0,Country_Github
Latvia,LV,LVA,2020-09-08,1919968,9.0,,Country_Website
Luxembourg,LU,LUX,2020-09-08,613894,23.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-08,17282163,,47.0,Other Website
Norway,NO,NOR,2020-09-08,5328212,11.0,,Country_API
Poland,PL,POL,2020-09-08,37972812,2042.0,,Country_Website
Portugal,PT,PRT,2020-09-08,10276617,394.0,50.0,Country_Website
Romania,RO,ROU,2020-09-08,19414458,,460.0,Country_Website
Slovakia,SK,SVK,2020-09-08,5450421,110.0,,JRC
Slovenia,SI,SVN,2020-09-08,2080908,28.0,4.0,Country_Github
United Kingdom,UK,GBR,2020-09-08,66647112,868.0,,Country_Website
Austria,AT,AUT,2020-09-07,8858775,163.0,29.0,Country_Website
Belgium,BE,BEL,2020-09-07,11455519,235.0,52.0,Country_Website
Bulgaria,BG,BGR,2020-09-07,7000039,766.0,54.0,External_Github
Croatia,HR,HRV,2020-09-07,4076246,307.0,,Country_Website
Czechia,CZ,CZE,2020-09-07,10649800,234.0,62.0,Country_Website
Denmark,DK,DNK,2020-09-07,5806081,29.0,3.0,Country_Website
Estonia,EE,EST,2020-09-07,1324820,7.0,0.0,Country_API
Finland,FI,FIN,2020-09-07,5517919,16.0,1.0,External_Github
France,FR,FRA,2020-09-07,67012883,4889.0,531.0,Country_Website
Hungary,HU,HUN,2020-09-07,9772756,164.0,11.0,JRC
Iceland,IS,ISL,2020-09-07,356991,1.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-07,4904240,49.0,6.0,Country_Website
Italy,IT,ITA,2020-09-07,60359546,1861.0,142.0,Country_Github
Latvia,LV,LVA,2020-09-07,1919968,9.0,,Country_Website
Luxembourg,LU,LUX,2020-09-07,613894,20.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-07,17282163,,46.0,Other Website
Norway,NO,NOR,2020-09-07,5328212,15.0,,Country_API
Poland,PL,POL,2020-09-07,37972812,2113.0,,Country_Website
Portugal,PT,PRT,2020-09-07,10276617,381.0,49.0,Country_Website
Romania,RO,ROU,2020-09-07,19414458,,465.0,Country_Website
Slovakia,SK,SVK,2020-09-07,5450421,99.0,,JRC
Slovenia,SI,SVN,2020-09-07,2080908,26.0,4.0,Country_Github
United Kingdom,UK,GBR,2020-09-07,66647112,874.0,,Country_Website
Austria,AT,AUT,2020-09-06,8858775,143.0,28.0,Country_Website
Belgium,BE,BEL,2020-09-06,11455519,223.0,53.0,Country_Website
Bulgaria,BG,BGR,2020-09-06,7000039,755.0,57.0,External_Github
Croatia,HR,HRV,2020-09-06,4076246,296.0,,Country_Website
Czechia,CZ,CZE,2020-09-06,10649800,214.0,54.0,Country_Website
Denmark,DK,DNK,2020-09-06,5806081,27.0,4.0,Country_Website
Estonia,EE,EST,2020-09-06,1324820,7.0,0.0,Country_API
France,FR,FRA,2020-09-06,67012883,4697.0,480.0,Country_Website
Hungary,HU,HUN,2020-09-06,9772756,151.0,11.0,JRC
Iceland,IS,ISL,2020-09-06,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-06,4904240,49.0,6.0,Country_Website
Italy,IT,ITA,2020-09-06,60359546,1816.0,133.0,Country_Github
Latvia,LV,LVA,2020-09-06,1919968,7.0,,Country_Website
Luxembourg,LU,LUX,2020-09-06,613894,15.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-06,17282163,,45.0,Other Website
Poland,PL,POL,2020-09-06,37972812,2091.0,,Country_Website
Portugal,PT,PRT,2020-09-06,10276617,354.0,43.0,Country_Website
Romania,RO,ROU,2020-09-06,19414458,,474.0,Country_Website
Slovakia,SK,SVK,2020-09-06,5450421,99.0,,JRC
Slovenia,SI,SVN,2020-09-06,2080908,23.0,3.0,Country_Github
United Kingdom,UK,GBR,2020-09-06,66647112,789.0,,Country_Website
Austria,AT,AUT,2020-09-05,8858775,157.0,28.0,Country_Website
Belgium,BE,BEL,2020-09-05,11455519,215.0,53.0,Country_Website
Bulgaria,BG,BGR,2020-09-05,7000039,763.0,56.0,External_Github
Croatia,HR,HRV,2020-09-05,4076246,285.0,,Country_Website
Czechia,CZ,CZE,2020-09-05,10649800,204.0,52.0,Country_Website
Denmark,DK,DNK,2020-09-05,5806081,16.0,3.0,Country_Website
Estonia,EE,EST,2020-09-05,1324820,7.0,0.0,Country_API
France,FR,FRA,2020-09-05,67012883,4667.0,476.0,Country_Website
Hungary,HU,HUN,2020-09-05,9772756,139.0,9.0,JRC
Iceland,IS,ISL,2020-09-05,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-05,4904240,48.0,7.0,Country_Website
Italy,IT,ITA,2020-09-05,60359546,1741.0,121.0,Country_Github
Latvia,LV,LVA,2020-09-05,1919968,7.0,,Country_Website
Luxembourg,LU,LUX,2020-09-05,613894,10.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-05,17282163,,41.0,Other Website
Poland,PL,POL,2020-09-05,37972812,2090.0,,Country_Website
Portugal,PT,PRT,2020-09-05,10276617,345.0,41.0,Country_Website
Romania,RO,ROU,2020-09-05,19414458,,476.0,Country_Website
Slovakia,SK,SVK,2020-09-05,5450421,95.0,,JRC
Slovenia,SI,SVN,2020-09-05,2080908,22.0,3.0,Country_Github
United Kingdom,UK,GBR,2020-09-05,66647112,783.0,,Country_Website
Austria,AT,AUT,2020-09-04,8858775,156.0,28.0,Country_Website
Belgium,BE,BEL,2020-09-04,11455519,215.0,52.0,Country_Website
Bulgaria,BG,BGR,2020-09-04,7000039,764.0,61.0,External_Github
Croatia,HR,HRV,2020-09-04,4076246,283.0,,Country_Website
Czechia,CZ,CZE,2020-09-04,10649800,197.0,50.0,Country_Website
Denmark,DK,DNK,2020-09-04,5806081,18.0,3.0,Country_Website
Estonia,EE,EST,2020-09-04,1324820,7.0,0.0,Country_API
Finland,FI,FIN,2020-09-04,5517919,14.0,1.0,External_Github
France,FR,FRA,2020-09-04,67012883,4653.0,467.0,Country_Website
Hungary,HU,HUN,2020-09-04,9772756,120.0,8.0,JRC
Iceland,IS,ISL,2020-09-04,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-04,4904240,44.0,7.0,Country_Website
Italy,IT,ITA,2020-09-04,60359546,1728.0,121.0,Country_Github
Latvia,LV,LVA,2020-09-04,1919968,6.0,,Country_Website
Luxembourg,LU,LUX,2020-09-04,613894,10.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-04,17282163,,45.0,Other Website
Norway,NO,NOR,2020-09-04,5328212,16.0,,Country_API
Poland,PL,POL,2020-09-04,37972812,2179.0,,Country_Website
Portugal,PT,PRT,2020-09-04,10276617,339.0,40.0,Country_Website
Romania,RO,ROU,2020-09-04,19414458,,485.0,Country_Website
Slovakia,SK,SVK,2020-09-04,5450421,92.0,,JRC
Slovenia,SI,SVN,2020-09-04,2080908,24.0,3.0,Country_Github
United Kingdom,UK,GBR,2020-09-04,66647112,788.0,,Country_Website
Austria,AT,AUT,2020-09-03,8858775,161.0,29.0,Country_Website
Belgium,BE,BEL,2020-09-03,11455519,209.0,58.0,Country_Website
Bulgaria,BG,BGR,2020-09-03,7000039,758.0,63.0,External_Github
Croatia,HR,HRV,2020-09-03,4076246,269.0,,Country_Website
Czechia,CZ,CZE,2020-09-03,10649800,190.0,44.0,Country_Website
Denmark,DK,DNK,2020-09-03,5806081,17.0,3.0,Country_Website
Estonia,EE,EST,2020-09-03,1324820,9.0,0.0,Country_API
France,FR,FRA,2020-09-03,67012883,4625.0,458.0,Country_Website
Hungary,HU,HUN,2020-09-03,9772756,100.0,7.0,JRC
Iceland,IS,ISL,2020-09-03,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-03,4904240,40.0,7.0,Country_Website
Italy,IT,ITA,2020-09-03,60359546,1625.0,120.0,Country_Github
Latvia,LV,LVA,2020-09-03,1919968,7.0,,Country_Website
Luxembourg,LU,LUX,2020-09-03,613894,11.0,0.0,Country_Website
Netherlands,NL,NLD,2020-09-03,17282163,,41.0,Other Website
Norway,NO,NOR,2020-09-03,5328212,13.0,,Country_API
Poland,PL,POL,2020-09-03,37972812,2170.0,,Country_Website
Portugal,PT,PRT,2020-09-03,10276617,334.0,44.0,Country_Website
Romania,RO,ROU,2020-09-03,19414458,,503.0,Country_Website
Slovakia,SK,SVK,2020-09-03,5450421,105.0,,JRC
Slovenia,SI,SVN,2020-09-03,2080908,26.0,4.0,Country_Github
United Kingdom,UK,GBR,2020-09-03,66647112,781.0,,Country_Website
Austria,AT,AUT,2020-09-02,8858775,157.0,30.0,Country_Website
Belgium,BE,BEL,2020-09-02,11455519,221.0,60.0,Country_Website
Bulgaria,BG,BGR,2020-09-02,7000039,737.0,62.0,External_Github
Croatia,HR,HRV,2020-09-02,4076246,258.0,,Country_Website
Czechia,CZ,CZE,2020-09-02,10649800,177.0,40.0,Country_Website
Denmark,DK,DNK,2020-09-02,5806081,15.0,4.0,Country_Website
Estonia,EE,EST,2020-09-02,1324820,10.0,0.0,Country_API
Finland,FI,FIN,2020-09-02,5517919,9.0,2.0,External_Github
France,FR,FRA,2020-09-02,67012883,4614.0,440.0,Country_Website
Hungary,HU,HUN,2020-09-02,9772756,98.0,7.0,JRC
Iceland,IS,ISL,2020-09-02,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-02,4904240,40.0,6.0,Country_Website
Italy,IT,ITA,2020-09-02,60359546,1546.0,109.0,Country_Github
Latvia,LV,LVA,2020-09-02,1919968,5.0,,Country_Website
Luxembourg,LU,LUX,2020-09-02,613894,16.0,2.0,Country_Website
Netherlands,NL,NLD,2020-09-02,17282163,,39.0,Other Website
Norway,NO,NOR,2020-09-02,5328212,11.0,,Country_API
Poland,PL,POL,2020-09-02,37972812,2168.0,,Country_Website
Portugal,PT,PRT,2020-09-02,10276617,337.0,41.0,Country_Website
Romania,RO,ROU,2020-09-02,19414458,,519.0,Country_Website
Slovakia,SK,SVK,2020-09-02,5450421,99.0,,JRC
Slovenia,SI,SVN,2020-09-02,2080908,26.0,4.0,Country_Github
United Kingdom,UK,GBR,2020-09-02,66647112,768.0,,Country_Website
Austria,AT,AUT,2020-09-01,8858775,149.0,30.0,Country_Website
Belgium,BE,BEL,2020-09-01,11455519,226.0,68.0,Country_Website
Bulgaria,BG,BGR,2020-09-01,7000039,727.0,65.0,External_Github
Croatia,HR,HRV,2020-09-01,4076246,258.0,,Country_Website
Czechia,CZ,CZE,2020-09-01,10649800,172.0,40.0,Country_Website
Denmark,DK,DNK,2020-09-01,5806081,20.0,4.0,Country_Website
Estonia,EE,EST,2020-09-01,1324820,8.0,0.0,Country_API
France,FR,FRA,2020-09-01,67012883,4586.0,418.0,Country_Website
Hungary,HU,HUN,2020-09-01,9772756,96.0,7.0,JRC
Iceland,IS,ISL,2020-09-01,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-09-01,4904240,36.0,6.0,Country_Website
Italy,IT,ITA,2020-09-01,60359546,1487.0,107.0,Country_Github
Latvia,LV,LVA,2020-09-01,1919968,5.0,,Country_Website
Luxembourg,LU,LUX,2020-09-01,613894,16.0,1.0,Country_Website
Netherlands,NL,NLD,2020-09-01,17282163,,41.0,Other Website
Norway,NO,NOR,2020-09-01,5328212,11.0,,Country_API
Poland,PL,POL,2020-09-01,37972812,2138.0,,Country_Website
Portugal,PT,PRT,2020-09-01,10276617,350.0,44.0,Country_Website
Romania,RO,ROU,2020-09-01,19414458,,522.0,Country_Website
Slovakia,SK,SVK,2020-09-01,5450421,77.0,,JRC
Slovenia,SI,SVN,2020-09-01,2080908,25.0,3.0,Country_Github
United Kingdom,UK,GBR,2020-09-01,66647112,828.0,,Country_Website
Austria,AT,AUT,2020-08-31,8858775,154.0,31.0,Country_Website
Belgium,BE,BEL,2020-08-31,11455519,243.0,74.0,Country_Website
Bulgaria,BG,BGR,2020-08-31,7000039,726.0,63.0,External_Github
Croatia,HR,HRV,2020-08-31,4076246,251.0,,Country_Website
Czechia,CZ,CZE,2020-08-31,10649800,172.0,35.0,Country_Website
Denmark,DK,DNK,2020-08-31,5806081,23.0,4.0,Country_Website
Estonia,EE,EST,2020-08-31,1324820,9.0,0.0,Country_API
Finland,FI,FIN,2020-08-31,5517919,10.0,1.0,External_Github
France,FR,FRA,2020-08-31,67012883,4564.0,403.0,Country_Website
Hungary,HU,HUN,2020-08-31,9772756,103.0,7.0,JRC
Iceland,IS,ISL,2020-08-31,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-31,4904240,35.0,6.0,Country_Website
Italy,IT,ITA,2020-08-31,60359546,1382.0,94.0,Country_Github
Latvia,LV,LVA,2020-08-31,1919968,5.0,,Country_Website
Luxembourg,LU,LUX,2020-08-31,613894,28.0,2.0,Country_Website
Netherlands,NL,NLD,2020-08-31,17282163,,45.0,Other Website
Norway,NO,NOR,2020-08-31,5328212,12.0,,Country_API
Poland,PL,POL,2020-08-31,37972812,2249.0,,Country_Website
Portugal,PT,PRT,2020-08-31,10276617,349.0,41.0,Country_Website
Romania,RO,ROU,2020-08-31,19414458,,506.0,Country_Website
Slovakia,SK,SVK,2020-08-31,5450421,77.0,,JRC
Slovenia,SI,SVN,2020-08-31,2080908,25.0,3.0,Country_Github
United Kingdom,UK,GBR,2020-08-31,66647112,821.0,,Country_Website
Austria,AT,AUT,2020-08-30,8858775,140.0,30.0,Country_Website
Belgium,BE,BEL,2020-08-30,11455519,233.0,71.0,Country_Website
Bulgaria,BG,BGR,2020-08-30,7000039,723.0,61.0,External_Github
Croatia,HR,HRV,2020-08-30,4076246,229.0,,Country_Website
Czechia,CZ,CZE,2020-08-30,10649800,153.0,35.0,Country_Website
Denmark,DK,DNK,2020-08-30,5806081,21.0,4.0,Country_Website
Estonia,EE,EST,2020-08-30,1324820,9.0,0.0,Country_API
France,FR,FRA,2020-08-30,67012883,4517.0,396.0,Country_Website
Hungary,HU,HUN,2020-08-30,9772756,90.0,7.0,JRC
Iceland,IS,ISL,2020-08-30,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-30,4904240,33.0,5.0,Country_Website
Italy,IT,ITA,2020-08-30,60359546,1337.0,86.0,Country_Github
Latvia,LV,LVA,2020-08-30,1919968,4.0,,Country_Website
Luxembourg,LU,LUX,2020-08-30,613894,27.0,2.0,Country_Website
Netherlands,NL,NLD,2020-08-30,17282163,,46.0,Other Website
Poland,PL,POL,2020-08-30,37972812,2242.0,,Country_Website
Portugal,PT,PRT,2020-08-30,10276617,341.0,41.0,Country_Website
Romania,RO,ROU,2020-08-30,19414458,,492.0,Country_Website
Slovakia,SK,SVK,2020-08-30,5450421,76.0,,JRC
Slovenia,SI,SVN,2020-08-30,2080908,24.0,3.0,Country_Github
United Kingdom,UK,GBR,2020-08-30,66647112,798.0,,Country_Website
Austria,AT,AUT,2020-08-29,8858775,144.0,30.0,Country_Website
Belgium,BE,BEL,2020-08-29,11455519,230.0,72.0,Country_Website
Bulgaria,BG,BGR,2020-08-29,7000039,712.0,59.0,External_Github
Croatia,HR,HRV,2020-08-29,4076246,211.0,,Country_Website
Czechia,CZ,CZE,2020-08-29,10649800,156.0,37.0,Country_Website
Denmark,DK,DNK,2020-08-29,5806081,21.0,4.0,Country_Website
Estonia,EE,EST,2020-08-29,1324820,9.0,0.0,Country_API
France,FR,FRA,2020-08-29,67012883,4512.0,394.0,Country_Website
Hungary,HU,HUN,2020-08-29,9772756,90.0,7.0,JRC
Iceland,IS,ISL,2020-08-29,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-29,4904240,30.0,5.0,Country_Website
Italy,IT,ITA,2020-08-29,60359546,1247.0,79.0,Country_Github
Latvia,LV,LVA,2020-08-29,1919968,4.0,,Country_Website
Luxembourg,LU,LUX,2020-08-29,613894,23.0,3.0,Country_Website
Netherlands,NL,NLD,2020-08-29,17282163,,41.0,Other Website
Poland,PL,POL,2020-08-29,37972812,2237.0,,Country_Website
Portugal,PT,PRT,2020-08-29,10276617,324.0,40.0,Country_Website
Romania,RO,ROU,2020-08-29,19414458,,490.0,Country_Website
Slovakia,SK,SVK,2020-08-29,5450421,76.0,,JRC
Slovenia,SI,SVN,2020-08-29,2080908,23.0,2.0,Country_Github
United Kingdom,UK,GBR,2020-08-29,66647112,796.0,,Country_Website
Austria,AT,AUT,2020-08-28,8858775,146.0,27.0,Country_Website
Belgium,BE,BEL,2020-08-28,11455519,252.0,77.0,Country_Website
Bulgaria,BG,BGR,2020-08-28,7000039,726.0,65.0,External_Github
Croatia,HR,HRV,2020-08-28,4076246,212.0,,Country_Website
Czechia,CZ,CZE,2020-08-28,10649800,158.0,37.0,Country_Website
Denmark,DK,DNK,2020-08-28,5806081,21.0,2.0,Country_Website
Estonia,EE,EST,2020-08-28,1324820,9.0,0.0,Country_API
Finland,FI,FIN,2020-08-28,5517919,11.0,1.0,External_Github
France,FR,FRA,2020-08-28,67012883,4517.0,381.0,Country_Website
Iceland,IS,ISL,2020-08-28,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-28,4904240,32.0,5.0,Country_Website
Italy,IT,ITA,2020-08-28,60359546,1252.0,74.0,Country_Github
Latvia,LV,LVA,2020-08-28,1919968,4.0,,Country_Website
Luxembourg,LU,LUX,2020-08-28,613894,25.0,4.0,Country_Website
Netherlands,NL,NLD,2020-08-28,17282163,,41.0,Other Website
Norway,NO,NOR,2020-08-28,5328212,16.0,,Country_API
Poland,PL,POL,2020-08-28,37972812,2221.0,,Country_Website
Portugal,PT,PRT,2020-08-28,10276617,334.0,38.0,Country_Website
Romania,RO,ROU,2020-08-28,19414458,,497.0,Country_Website
Slovenia,SI,SVN,2020-08-28,2080908,22.0,1.0,Country_Github
United Kingdom,UK,GBR,2020-08-28,66647112,769.0,,Country_Website
Austria,AT,AUT,2020-08-27,8858775,145.0,24.0,Country_Website
Belgium,BE,BEL,2020-08-27,11455519,257.0,82.0,Country_Website
Bulgaria,BG,BGR,2020-08-27,7000039,741.0,60.0,External_Github
Croatia,HR,HRV,2020-08-27,4076246,194.0,,Country_Website
Czechia,CZ,CZE,2020-08-27,10649800,147.0,34.0,Country_Website
Denmark,DK,DNK,2020-08-27,5806081,19.0,2.0,Country_Website
Estonia,EE,EST,2020-08-27,1324820,12.0,0.0,Country_API
France,FR,FRA,2020-08-27,67012883,4517.0,375.0,Country_Website
Hungary,HU,HUN,2020-08-27,9772756,78.0,7.0,JRC
Iceland,IS,ISL,2020-08-27,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-27,4904240,29.0,5.0,Country_Website
Italy,IT,ITA,2020-08-27,60359546,1198.0,67.0,Country_Github
Latvia,LV,LVA,2020-08-27,1919968,5.0,,Country_Website
Luxembourg,LU,LUX,2020-08-27,613894,30.0,2.0,Country_Website
Netherlands,NL,NLD,2020-08-27,17282163,,43.0,Other Website
Norway,NO,NOR,2020-08-27,5328212,17.0,,Country_API
Poland,PL,POL,2020-08-27,37972812,2185.0,,Country_Website
Portugal,PT,PRT,2020-08-27,10276617,317.0,35.0,Country_Website
Romania,RO,ROU,2020-08-27,19414458,,492.0,Country_Website
Slovakia,SK,SVK,2020-08-27,5450421,72.0,,JRC
Slovenia,SI,SVN,2020-08-27,2080908,23.0,1.0,Country_Github
United Kingdom,UK,GBR,2020-08-27,66647112,787.0,,Country_Website
Austria,AT,AUT,2020-08-26,8858775,141.0,23.0,Country_Website
Belgium,BE,BEL,2020-08-26,11455519,260.0,81.0,Country_Website
Bulgaria,BG,BGR,2020-08-26,7000039,715.0,64.0,External_Github
Croatia,HR,HRV,2020-08-26,4076246,174.0,,Country_Website
Czechia,CZ,CZE,2020-08-26,10649800,134.0,34.0,Country_Website
Denmark,DK,DNK,2020-08-26,5806081,19.0,3.0,Country_Website
Estonia,EE,EST,2020-08-26,1324820,10.0,0.0,Country_API
Finland,FI,FIN,2020-08-26,5517919,5.0,1.0,External_Github
France,FR,FRA,2020-08-26,67012883,4535.0,373.0,Country_Website
Hungary,HU,HUN,2020-08-26,9772756,64.0,7.0,JRC
Iceland,IS,ISL,2020-08-26,356991,0.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-26,4904240,26.0,4.0,Country_Website
Italy,IT,ITA,2020-08-26,60359546,1124.0,69.0,Country_Github
Latvia,LV,LVA,2020-08-26,1919968,3.0,,Country_Website
Luxembourg,LU,LUX,2020-08-26,613894,27.0,2.0,Country_Website
Netherlands,NL,NLD,2020-08-26,17282163,,43.0,Other Website
Norway,NO,NOR,2020-08-26,5328212,17.0,,Country_API
Poland,PL,POL,2020-08-26,37972812,2170.0,,Country_Website
Portugal,PT,PRT,2020-08-26,10276617,311.0,38.0,Country_Website
Romania,RO,ROU,2020-08-26,19414458,,502.0,Country_Website
Slovakia,SK,SVK,2020-08-26,5450421,70.0,,JRC
Slovenia,SI,SVN,2020-08-26,2080908,20.0,0.0,Country_Github
United Kingdom,UK,GBR,2020-08-26,66647112,776.0,,Country_Website
Austria,AT,AUT,2020-08-25,8858775,137.0,23.0,Country_Website
Belgium,BE,BEL,2020-08-25,11455519,282.0,85.0,Country_Website
Bulgaria,BG,BGR,2020-08-25,7000039,714.0,65.0,External_Github
Croatia,HR,HRV,2020-08-25,4076246,167.0,,Country_Website
Czechia,CZ,CZE,2020-08-25,10649800,131.0,32.0,Country_Website
Denmark,DK,DNK,2020-08-25,5806081,21.0,3.0,Country_Website
Estonia,EE,EST,2020-08-25,1324820,10.0,0.0,Country_API
France,FR,FRA,2020-08-25,67012883,4578.0,401.0,Country_Website
Hungary,HU,HUN,2020-08-25,9772756,57.0,7.0,JRC
Iceland,IS,ISL,2020-08-25,356991,1.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-25,4904240,26.0,4.0,Country_Website
Italy,IT,ITA,2020-08-25,60359546,1124.0,66.0,Country_Github
Latvia,LV,LVA,2020-08-25,1919968,4.0,,Country_Website
Luxembourg,LU,LUX,2020-08-25,613894,33.0,2.0,Country_Website
Netherlands,NL,NLD,2020-08-25,17282163,,45.0,Other Website
Norway,NO,NOR,2020-08-25,5328212,18.0,,Country_API
Poland,PL,POL,2020-08-25,37972812,2167.0,,Country_Website
Portugal,PT,PRT,2020-08-25,10276617,325.0,41.0,Country_Website
Romania,RO,ROU,2020-08-25,19414458,,490.0,Country_Website
Slovakia,SK,SVK,2020-08-25,5450421,65.0,,JRC
Slovenia,SI,SVN,2020-08-25,2080908,17.0,0.0,Country_Github
United Kingdom,UK,GBR,2020-08-25,66647112,793.0,,Country_Website
Austria,AT,AUT,2020-08-24,8858775,135.0,23.0,Country_Website
Belgium,BE,BEL,2020-08-24,11455519,320.0,89.0,Country_Website
Bulgaria,BG,BGR,2020-08-24,7000039,745.0,74.0,External_Github
Croatia,HR,HRV,2020-08-24,4076246,163.0,,Country_Website
Czechia,CZ,CZE,2020-08-24,10649800,125.0,31.0,Country_Website
Denmark,DK,DNK,2020-08-24,5806081,20.0,3.0,Country_Website
Estonia,EE,EST,2020-08-24,1324820,11.0,0.0,Country_API
Finland,FI,FIN,2020-08-24,5517919,12.0,1.0,External_Github
France,FR,FRA,2020-08-24,67012883,4664.0,387.0,Country_Website
Hungary,HU,HUN,2020-08-24,9772756,59.0,9.0,JRC
Iceland,IS,ISL,2020-08-24,356991,1.0,0.0,Country_Website
Ireland,IE,IRL,2020-08-24,4904240,27.0,5.0,Country_Website
Italy,IT,ITA,2020-08-24,60359546,1110.0,65.0,Country_Github
Latvia,LV,LVA,2020-08-24,1919968,5.0,,Country_Website
Luxembourg,LU,LUX,2020-08-24,613894,32.0,1.0,Country_Website
Netherlands,NL,NLD,2020-08-24,17282163,,50.0,Other Website
Norway,NO,NOR,2020-08-24,5328212,17.0,,Country_API
Poland,PL,POL,2020-08-24,37972812,2207.0,,Country_Website
Portugal,PT,PRT,2020-08-24,10276617,321.0,44.0,Country_Website
Romania,RO,ROU,2020-08-24,19414458,,494.0,Country_Website
Slovenia,SI,SVN,2020-08-24,2080908,17.0,0.0,Country_Github
